"NAME","STATE","COUNTY","S1501_C01_006E","S1501_C01_007E","S1501_C01_008E","S1501_C01_009E","S1501_C01_010E","S1501_C01_011E","S1501_C01_012E","S1501_C01_013E","state","county","yr"
"Butler County, Alabama","01","013","13888","587","1554","6091","2346","1075","1344","891","01","013",2018
"Walker County, Alabama","01","127","44974","3232","5374","16685","9921","4558","3224","1980","01","127",2018
"Greene County, Alabama","01","063","5833","548","858","2149","1252","437","371","218","01","063",2018
"Bullock County, Alabama","01","011","7104","346","1414","2817","1205","377","526","419","01","011",2018
"Montgomery County, Illinois","17","135","20988","711","2097","8371","4561","1968","2022","1258","17","135",2018
"Whiteside County, Illinois","17","195","39295","1521","2288","14567","9847","3813","4655","2604","17","195",2018
"Adams County, Illinois","17","001","46174","929","2488","15923","11517","3869","7189","4259","17","001",2018
"Clinton County, Illinois","17","027","26681","1175","1518","8589","6071","3334","4191","1803","17","027",2018
"DeKalb County, Illinois","17","037","61363","1828","2844","15626","14932","6879","12014","7240","17","037",2018
"Edwards County, Illinois","17","047","4538","131","253","1591","1041","889","453","180","17","047",2018
"Jasper County, Illinois","17","079","6709","313","403","2699","1166","957","800","371","17","079",2018
"Jefferson County, Illinois","17","081","26667","1154","2585","8152","6866","3271","2805","1834","17","081",2018
"Vermilion County, Illinois","17","183","53310","1758","4595","21917","11574","5434","5427","2605","17","183",2018
"Will County, Illinois","17","197","448262","18651","22101","119769","98161","37351","97646","54583","17","197",2018
"Williamson County, Illinois","17","199","47527","1354","2826","14567","12669","5376","6341","4394","17","199",2018
"Clark County, Illinois","17","023","10989","283","716","4268","2264","1522","1281","655","17","023",2018
"Douglas County, Illinois","17","041","13135","1456","865","4289","2917","1118","1831","659","17","041",2018
"Effingham County, Illinois","17","049","23277","714","1004","8473","4705","3151","3670","1560","17","049",2018
"Fulton County, Illinois","17","057","25588","900","2156","8844","6447","2731","3066","1444","17","057",2018
"Greene County, Illinois","17","061","9399","338","801","4170","2109","812","824","345","17","061",2018
"Hamilton County, Illinois","17","065","5838","329","341","1973","1474","650","595","476","17","065",2018
"Hardin County, Illinois","17","069","2982","211","354","980","718","385","266","68","17","069",2018
"Henry County, Illinois","17","073","34631","705","2692","11722","7665","4005","5218","2624","17","073",2018
"Johnson County, Illinois","17","087","9229","444","1195","2910","2390","764","1072","454","17","087",2018
"Knox County, Illinois","17","095","35533","880","3108","12850","8431","3682","4247","2335","17","095",2018
"Livingston County, Illinois","17","105","25520","784","1938","11005","5722","2057","2545","1469","17","105",2018
"Scott County, Illinois","17","171","3559","91","171","1732","721","310","371","163","17","171",2018
"Tazewell County, Illinois","17","179","93423","1966","4979","29789","21768","10265","17063","7593","17","179",2018
"Warren County, Illinois","17","187","11307","506","882","3704","2675","941","1820","779","17","187",2018
"Harrison County, Indiana","18","061","27814","718","2331","11148","6206","2575","3025","1811","18","061",2018
"LaPorte County, Indiana","18","091","77246","2492","6549","30361","16974","7062","9144","4664","18","091",2018
"Wabash County, Indiana","18","169","21712","680","1859","9222","4069","1885","2294","1703","18","169",2018
"Jasper County, Indiana","18","073","22363","375","2259","9461","4997","1948","2247","1076","18","073",2018
"Martin County, Indiana","18","101","7089","262","763","3060","1198","853","623","330","18","101",2018
"Porter County, Indiana","18","127","114687","2108","5750","39600","23908","10927","20305","12089","18","127",2018
"Ripley County, Indiana","18","137","19227","571","1476","8359","3572","1769","2172","1308","18","137",2018
"Spencer County, Indiana","18","147","14395","333","1090","6465","2801","1563","1425","718","18","147",2018
"Laurel County, Kentucky","21","125","41302","3371","4416","16772","8245","2959","3341","2198","21","125",2018
"Henry County, Kentucky","21","103","10804","695","1012","4544","2442","795","792","524","21","103",2018
"Hopkins County, Kentucky","21","107","31743","1779","2499","13186","6224","2986","2899","2170","21","107",2018
"Jackson County, Kentucky","21","109","9317","942","1448","3968","1312","511","689","447","21","109",2018
"Marshall County, Kentucky","21","157","22692","920","1850","8544","5126","1982","2239","2031","21","157",2018
"Meade County, Kentucky","21","163","19327","750","1524","6629","4693","2205","2027","1499","21","163",2018
"Montgomery County, Kentucky","21","173","18867","1228","1671","7696","4182","1011","1859","1220","21","173",2018
"Nicholas County, Kentucky","21","181","4828","400","692","2051","749","444","261","231","21","181",2018
"Oldham County, Kentucky","21","185","43178","889","1764","9176","9874","3264","10775","7436","21","185",2018
"Owen County, Kentucky","21","187","7379","375","907","3693","1047","626","486","245","21","187",2018
"Rockcastle County, Kentucky","21","203","11872","1552","1103","5175","2149","631","763","499","21","203",2018
"Scott County, Kentucky","21","209","34837","1184","2159","10611","7719","3209","5968","3987","21","209",2018
"Warren County, Kentucky","21","227","76589","4253","5164","21486","15896","6353","14255","9182","21","227",2018
"Allen County, Kentucky","21","003","14195","1311","1393","5610","2575","1239","1315","752","21","003",2018
"Bourbon County, Kentucky","21","017","14032","926","1172","5232","3095","960","1613","1034","21","017",2018
"Bullitt County, Kentucky","21","029","54935","1932","4655","22840","12627","5069","5046","2766","21","029",2018
"Crittenden County, Kentucky","21","055","6451","497","600","2723","1212","572","504","343","21","055",2018
"Fulton County, Kentucky","21","075","4365","474","476","1696","903","237","353","226","21","075",2018
"Knott County, Kentucky","21","119","10683","1388","1481","3458","2033","941","635","747","21","119",2018
"Menifee County, Kentucky","21","165","4663","625","478","2043","711","279","344","183","21","165",2018
"Muhlenberg County, Kentucky","21","177","21763","1672","2554","9412","3756","1952","1441","976","21","177",2018
"Perry County, Kentucky","21","193","18891","2201","2184","6574","3917","1682","978","1355","21","193",2018
"Wolfe County, Kentucky","21","237","5049","759","762","1909","957","276","111","275","21","237",2018
"Clay County, Kentucky","21","051","14660","2580","2658","5009","2367","648","626","772","21","051",2018
"Bell County, Kentucky","21","013","19141","2749","3083","7392","2829","1375","755","958","21","013",2018
"Cumberland County, Kentucky","21","057","4725","492","401","1966","911","337","379","239","21","057",2018
"Graves County, Kentucky","21","083","25295","1545","2171","9954","5396","2115","2442","1672","21","083",2018
"Lee County, Kentucky","21","129","4873","765","678","1812","890","224","221","283","21","129",2018
"Butler County, Kentucky","21","031","8995","989","981","3844","1307","742","602","530","21","031",2018
"Edmonson County, Kentucky","21","061","8715","878","952","3658","1646","643","522","416","21","061",2018
"Harrison County, Kentucky","21","097","12900","966","1175","5199","2733","914","1076","837","21","097",2018
"Bracken County, Kentucky","21","023","5647","341","513","2485","1053","480","435","340","21","023",2018
"Nelson County, Kentucky","21","179","30492","1136","2154","11805","7096","3065","3158","2078","21","179",2018
"Wayne County, Kentucky","21","231","14655","2252","1863","5482","2370","809","1084","795","21","231",2018
"Marion County, Kentucky","21","155","13058","1116","1438","5573","2083","1123","881","844","21","155",2018
"Trigg County, Kentucky","21","221","10264","485","811","3215","2933","1085","1114","621","21","221",2018
"Boone County, Kentucky","21","015","84634","2081","4011","23606","21140","7040","17261","9495","21","015",2018
"Jessamine County, Kentucky","21","113","34193","1456","3084","10374","6488","2714","6013","4064","21","113",2018
"Knox County, Kentucky","21","121","21103","2866","2970","7994","3489","1012","1214","1558","21","121",2018
"Letcher County, Kentucky","21","133","16170","1438","2567","6056","2436","1780","1055","838","21","133",2018
"Livingston County, Kentucky","21","139","6675","350","745","2969","1426","426","493","266","21","139",2018
"Pike County, Kentucky","21","195","42717","4516","5682","16434","7653","2858","2741","2833","21","195",2018
"Shelby County, Kentucky","21","211","31814","2020","2663","9873","7085","2459","4525","3189","21","211",2018
"Anderson County, Kentucky","21","005","15232","639","1075","5599","3286","1540","1905","1188","21","005",2018
"Breckinridge County, Kentucky","21","027","13986","904","1582","6237","2645","1072","867","679","21","027",2018
"Franklin County, Kentucky","21","073","35279","1513","2353","10781","7849","2269","6591","3923","21","073",2018
"McCreary County, Kentucky","21","147","12366","1490","1656","5285","2087","997","550","301","21","147",2018
"Madison County, Kentucky","21","151","54820","3082","4033","15231","11132","4615","10003","6724","21","151",2018
"Metcalfe County, Kentucky","21","169","6991","883","732","2586","1466","406","436","482","21","169",2018
"Owsley County, Kentucky","21","189","3115","594","367","1152","374","124","251","253","21","189",2018
"Simpson County, Kentucky","21","213","12192","519","1201","5446","2328","966","1102","630","21","213",2018
"Clark County, Kentucky","21","049","25116","1491","2167","8732","5594","2095","3245","1792","21","049",2018
"Todd County, Kentucky","21","219","8138","1054","751","3156","1528","598","588","463","21","219",2018
"Carroll County, Kentucky","21","041","7180","598","999","3017","1468","464","442","192","21","041",2018
"Clinton County, Kentucky","21","053","7078","710","1197","2745","1223","485","429","289","21","053",2018
"Gallatin County, Kentucky","21","077","5806","375","725","2693","1079","258","520","156","21","077",2018
"Richland Parish, Louisiana","22","083","13721","851","1955","5576","2911","572","1109","747","22","083",2018
"DeKalb County, Alabama","01","049","47876","5762","6632","15956","8916","4525","3557","2528","01","049",2018
"Colbert County, Alabama","01","033","38638","1857","4159","13927","8611","2848","4573","2663","01","033",2018
"Dale County, Alabama","01","045","33382","1517","3215","10924","8720","3316","3739","1951","01","045",2018
"Hale County, Alabama","01","065","10071","458","1189","4292","1954","757","936","485","01","065",2018
"Escambia County, Alabama","01","053","25965","1230","3562","11546","4496","1844","2079","1208","01","053",2018
"Randolph County, Alabama","01","111","15738","1420","1920","5719","3091","1238","1436","914","01","111",2018
"Mobile County, Alabama","01","097","277699","9193","29054","92986","60545","22218","42033","21670","01","097",2018
"Perry County, Alabama","01","105","5815","615","660","2293","1069","265","474","439","01","105",2018
"Cleburne County, Alabama","01","029","10445","746","1618","4135","2029","489","927","501","01","029",2018
"Conecuh County, Alabama","01","035","8848","617","1086","4315","1158","723","632","317","01","035",2018
"Barbour County, Alabama","01","005","18173","1490","3411","6486","3287","1279","1417","803","01","005",2018
"Bibb County, Alabama","01","007","15780","903","1747","7471","2938","908","1197","616","01","007",2018
"Calhoun County, Alabama","01","015","79135","4012","8608","25653","20474","6169","8060","6159","01","015",2018
"Clarke County, Alabama","01","025","16870","905","2270","7372","2891","1314","1342","776","01","025",2018
"Fayette County, Alabama","01","057","11717","773","1287","4868","2486","787","1070","446","01","057",2018
"Douglas County, Minnesota","27","041","26537","404","914","7857","5532","5083","4840","1907","27","041",2018
"Grant County, Minnesota","27","051","4235","72","198","1427","982","734","610","212","27","051",2018
"Kittson County, Minnesota","27","069","3086","78","106","1176","730","259","544","193","27","069",2018
"Le Sueur County, Minnesota","27","079","19124","456","926","6675","4322","2470","3197","1078","27","079",2018
"Mahnomen County, Minnesota","27","087","3363","123","316","1275","819","420","280","130","27","087",2018
"Chisago County, Minnesota","27","025","37802","492","1653","12797","9907","5216","5615","2122","27","025",2018
"Redwood County, Minnesota","27","127","10421","354","603","4001","2462","1067","1499","435","27","127",2018
"Yellow Medicine County, Minnesota","27","173","6878","228","370","2445","1734","997","832","272","27","173",2018
"Todd County, Minnesota","27","153","16808","1011","1171","6116","3571","2330","1956","653","27","153",2018
"Beltrami County, Minnesota","27","007","28164","558","1879","7906","6481","3433","4878","3029","27","007",2018
"Blue Earth County, Minnesota","27","013","38536","726","1533","10298","8318","4721","8510","4430","27","013",2018
"Houston County, Minnesota","27","055","13291","251","465","4462","2975","1950","2267","921","27","055",2018
"Lac qui Parle County, Minnesota","27","073","5000","156","210","1840","1210","631","699","254","27","073",2018
"Lake of the Woods County, Minnesota","27","077","2882","78","164","1123","766","194","454","103","27","077",2018
"Otter Tail County, Minnesota","27","111","41264","1086","2095","12109","9640","5973","7310","3051","27","111",2018
"Waseca County, Minnesota","27","161","12971","374","520","4644","2928","1848","1847","810","27","161",2018
"St. Louis County, Minnesota","27","137","136233","1902","5969","38176","33241","17779","25929","13237","27","137",2018
"Anoka County, Minnesota","27","003","235946","4956","9429","65852","54846","30856","49369","20638","27","003",2018
"Stearns County, Minnesota","27","145","96837","4074","3672","27007","21658","13532","18245","8649","27","145",2018
"Dakota County, Minnesota","27","037","281427","5663","8785","58074","58830","32446","81723","35906","27","037",2018
"Lyon County, Minnesota","27","083","16542","556","760","5481","3536","2004","3103","1102","27","083",2018
"Mille Lacs County, Minnesota","27","095","17645","451","1345","6731","4379","2036","1875","828","27","095",2018
"Renville County, Minnesota","27","129","10286","431","683","3733","2673","1286","1136","344","27","129",2018
"Carlton County, Minnesota","27","017","24795","303","1157","8470","6027","3267","4066","1505","27","017",2018
"Cook County, Minnesota","27","031","4202","27","115","962","862","453","1144","639","27","031",2018
"Somerset County, Pennsylvania","42","111","55686","2330","4317","27921","8031","4459","5710","2918","42","111",2018
"Madison County, Missouri","29","123","8564","688","840","2950","2012","777","868","429","29","123",2018
"Vernon County, Missouri","29","217","13811","592","991","5782","2901","1107","1455","983","29","217",2018
"Nodaway County, Missouri","29","147","12462","369","569","4805","2620","633","1918","1548","29","147",2018
"Chariton County, Missouri","29","041","5300","108","420","2594","805","396","643","334","29","041",2018
"Wayne County, Missouri","29","223","9639","805","1579","3613","2110","544","662","326","29","223",2018
"Scott County, Missouri","29","201","26347","1345","2710","11081","5728","1662","2374","1447","29","201",2018
"Barton County, Missouri","29","011","8074","411","619","3454","1716","414","998","462","29","011",2018
"Cedar County, Missouri","29","039","9658","607","898","3880","2133","658","942","540","29","039",2018
"Gasconade County, Missouri","29","073","10571","508","832","4155","2204","869","1244","759","29","073",2018
"Macon County, Missouri","29","121","10522","441","861","4673","2138","760","1118","531","29","121",2018
"Oregon County, Missouri","29","149","7586","564","815","3051","1630","597","644","285","29","149",2018
"Ste. Genevieve County, Missouri","29","186","12631","456","974","5054","2704","1204","1375","864","29","186",2018
"Douglas County, Missouri","29","067","9637","459","1337","4289","1884","660","641","367","29","067",2018
"Henry County, Missouri","29","083","15495","490","1386","6578","3606","1040","1631","764","29","083",2018
"Lawrence County, Missouri","29","109","25499","1205","3072","9441","6162","1717","2693","1209","29","109",2018
"Pulaski County, Missouri","29","169","29000","805","1687","8010","7781","3208","4779","2730","29","169",2018
"Texas County, Missouri","29","215","18319","719","2329","7304","4266","1111","1786","804","29","215",2018
"Callaway County, Missouri","29","027","30588","1173","3130","11392","6037","2053","4424","2379","29","027",2018
"Berkeley County, South Carolina","45","015","138148","4669","10815","40977","33637","15121","21950","10979","45","015",2018
"Marion County, South Carolina","45","067","21699","1380","2788","8466","4346","1588","2130","1001","45","067",2018
"Lexington County, South Carolina","45","063","196774","6891","13623","56407","42394","18296","38406","20757","45","063",2018
"Oconee County, South Carolina","45","073","55310","3440","5446","16512","10722","5578","8120","5492","45","073",2018
"Charleston County, South Carolina","45","019","279695","6623","17024","63580","49908","22890","76472","43198","45","019",2018
"Georgetown County, South Carolina","45","043","45508","1919","3965","13212","9830","4212","7679","4691","45","043",2018
"Marlboro County, South Carolina","45","069","19348","1494","3168","8001","3469","1402","1136","678","45","069",2018
"Anderson County, South Carolina","45","007","134276","6824","14018","41963","27874","14883","18311","10403","45","007",2018
"Chesterfield County, South Carolina","45","025","31754","2689","4885","12841","5681","2454","2118","1086","45","025",2018
"Greenwood County, South Carolina","45","047","47046","2721","4925","14475","8341","5509","7204","3871","45","047",2018
"Horry County, South Carolina","45","051","236117","6667","17373","77366","54887","24207","36482","19135","45","051",2018
"Kershaw County, South Carolina","45","055","44533","1596","4406","16431","9008","4250","5401","3441","45","055",2018
"Orangeburg County, South Carolina","45","075","59168","2619","5922","19088","11936","8037","6893","4673","45","075",2018
"Spartanburg County, South Carolina","45","083","203339","10686","19260","59812","43323","21809","30932","17517","45","083",2018
"Bamberg County, South Carolina","45","009","9740","350","1376","3235","1521","1436","1129","693","45","009",2018
"Beaufort County, South Carolina","45","013","130208","2915","6383","29874","27079","11477","30691","21789","45","013",2018
"Calhoun County, South Carolina","45","017","10688","467","1065","3978","2214","917","1407","640","45","017",2018
"Dillon County, South Carolina","45","033","20354","1866","3245","7811","3653","1510","1457","812","45","033",2018
"Saluda County, South Carolina","45","081","14069","1348","1575","5095","2414","1367","1500","770","45","081",2018
"Richland County, South Carolina","45","079","254597","6824","15905","57095","56801","21947","56883","39142","45","079",2018
"Fairfield County, South Carolina","45","039","16397","906","1958","6452","3158","1131","2080","712","45","039",2018
"Hampton County, South Carolina","45","049","13852","687","1752","6502","2170","1161","1183","397","45","049",2018
"Greenville County, South Carolina","45","045","337521","14773","26572","83309","67054","30516","72848","42449","45","045",2018
"Lancaster County, South Carolina","45","057","63667","2483","6162","20313","11844","5756","11180","5929","45","057",2018
"Dorchester County, South Carolina","45","035","103927","3239","7039","28804","23786","12042","19023","9994","45","035",2018
"Florence County, South Carolina","45","041","93092","4344","10003","30767","17626","8881","13663","7808","45","041",2018
"Laurens County, South Carolina","45","059","45666","3028","5890","15980","9293","4464","4594","2417","45","059",2018
"McCormick County, South Carolina","45","065","7924","442","1043","2609","1471","757","1087","515","45","065",2018
"Pickens County, South Carolina","45","077","77375","3868","7830","23327","15670","7727","10977","7976","45","077",2018
"Union County, South Carolina","45","087","19591","1191","2449","7795","3757","2021","1492","886","45","087",2018
"Williamsburg County, South Carolina","45","089","22346","1595","2721","9361","3948","1893","1895","933","45","089",2018
"Aurora County, South Dakota","46","003","1809","180","58","607","314","278","294","78","46","003",2018
"Grant County, South Dakota","46","051","5060","169","296","2204","864","646","702","179","46","051",2018
"Tripp County, South Dakota","46","123","3860","138","224","1560","750","358","654","176","46","123",2018
"Ziebach County, South Dakota","46","137","1594","57","196","599","292","190","218","42","46","137",2018
"Spink County, South Dakota","46","115","4464","195","208","1631","896","544","755","235","46","115",2018
"Bon Homme County, South Dakota","46","009","5057","313","308","1842","1012","650","624","308","46","009",2018
"Brookings County, South Dakota","46","011","18145","262","571","5184","3321","1694","4584","2529","46","011",2018
"Fall River County, South Dakota","46","047","5168","83","315","1650","1416","594","789","321","46","047",2018
"Hamlin County, South Dakota","46","057","3671","115","205","1552","619","434","575","171","46","057",2018
"Jackson County, South Dakota","46","071","1869","73","251","623","379","159","274","110","46","071",2018
"Custer County, South Dakota","46","033","6792","150","252","2076","1616","997","1185","516","46","033",2018
"Hyde County, South Dakota","46","069","986","37","40","422","161","104","165","57","46","069",2018
"Faulk County, South Dakota","46","049","1648","42","77","549","325","178","269","208","46","049",2018
"Hutchinson County, South Dakota","46","067","4993","385","231","1648","821","634","970","304","46","067",2018
"Walworth County, South Dakota","46","129","3886","129","255","1498","712","390","695","207","46","129",2018
"Buffalo County, South Dakota","46","017","1041","42","170","414","234","83","85","13","46","017",2018
"Day County, South Dakota","46","037","3932","210","199","1487","765","461","618","192","46","037",2018
"Douglas County, South Dakota","46","043","2071","163","93","759","444","261","219","132","46","043",2018
"Harding County, South Dakota","46","063","912","24","44","300","209","97","198","40","46","063",2018
"McPherson County, South Dakota","46","089","1753","161","129","581","396","199","221","66","46","089",2018
"Roberts County, South Dakota","46","109","6558","270","486","2334","1417","921","774","356","46","109",2018
"Sully County, South Dakota","46","119","911","13","30","316","237","83","197","35","46","119",2018
"Lincoln County, South Dakota","46","083","35200","760","1055","7635","7095","4773","9620","4262","46","083",2018
"Lake County, South Dakota","46","079","8591","208","456","2978","1429","696","2045","779","46","079",2018
"Lawrence County, South Dakota","46","081","17488","340","778","5239","3762","1302","4153","1914","46","081",2018
"Washington County, Minnesota","27","163","170113","2557","4332","35951","34951","18817","47295","26210","27","163",2018
"Chambers County, Alabama","01","017","23564","1352","3031","9060","4985","2018","2200","918","01","017",2018
"Lincoln County, Minnesota","27","081","4030","118","232","1542","881","516","574","167","27","081",2018
"Marshall County, Minnesota","27","089","6568","327","425","2411","1361","793","940","311","27","089",2018
"Kanabec County, Minnesota","27","065","11362","281","810","4565","2876","1174","1084","572","27","065",2018
"Yuba County, California","06","115","47201","3603","4875","10898","14749","5210","5531","2335","06","115",2018
"Lassen County, California","06","035","22390","854","2999","7444","6216","2180","1787","910","06","035",2018
"Sonoma County, California","06","097","357968","22149","20682","67183","88952","34129","78692","46181","06","097",2018
"Imperial County, California","06","025","109338","18440","15488","26758","25980","6870","10794","5008","06","025",2018
"Alameda County, California","06","001","1156404","72042","67192","203838","207018","74613","305740","225961","06","001",2018
"Napa County, California","06","055","98220","9562","5108","17644","22545","9084","22549","11728","06","055",2018
"Sierra County, California","06","091","2330","10","146","620","806","312","207","229","06","091",2018
"Yolo County, California","06","113","126055","9026","8154","23271","24627","8553","26649","25775","06","113",2018
"Nevada County, California","06","057","75777","1491","2895","13945","21746","7946","17914","9840","06","057",2018
"Mendocino County, California","06","045","61799","3725","4376","15925","17621","4911","10087","5154","06","045",2018
"Los Angeles County, California","06","037","6845489","862926","597792","1416482","1314543","476265","1416842","760639","06","037",2018
"Santa Clara County, California","06","085","1323801","89149","68538","191695","203285","91636","361683","317815","06","085",2018
"Siskiyou County, California","06","093","31792","1012","2169","8118","9692","3638","4730","2433","06","093",2018
"Del Norte County, California","06","015","19437","865","2819","6131","5229","1611","1619","1163","06","015",2018
"Chaffee County, Colorado","08","015","15106","411","659","4038","3548","1382","3066","2002","08","015",2018
"Garfield County, Colorado","08","045","38796","2177","2563","11076","7801","3528","7572","4079","08","045",2018
"Jefferson County, Colorado","08","059","408988","6890","15950","84351","89113","32448","113402","66834","08","059",2018
"Rio Blanco County, Colorado","08","103","4166","100","201","1406","1187","429","587","256","08","103",2018
"Conejos County, Colorado","08","021","5301","361","350","1717","1458","346","790","279","08","021",2018
"Adams County, Colorado","08","001","318139","24508","29571","90409","71157","27536","50871","24087","08","001",2018
"Eagle County, Colorado","08","037","38042","1996","2079","5979","6053","3619","13196","5120","08","037",2018
"Moffat County, Colorado","08","081","8847","276","527","3570","2337","623","1019","495","08","081",2018
"Cheyenne County, Colorado","08","017","1265","26","99","460","278","149","219","34","08","017",2018
"Dolores County, Colorado","08","033","1408","23","92","539","346","108","180","120","08","033",2018
"Jackson County, Colorado","08","057","968","45","75","287","332","66","127","36","08","057",2018
"Montezuma County, Colorado","08","083","18228","656","1265","5361","4593","1146","3299","1908","08","083",2018
"Boulder County, Colorado","08","013","209850","4160","6220","25800","33198","12906","69525","58041","08","013",2018
"Yuma County, Colorado","08","125","6620","437","349","2219","1537","614","958","506","08","125",2018
"Routt County, Colorado","08","107","18311","318","277","3613","3519","1352","5923","3309","08","107",2018
"Clear Creek County, Colorado","08","019","7345","19","104","1536","1662","608","2070","1346","08","019",2018
"Pueblo County, Colorado","08","101","111894","3813","8001","32066","30444","13002","16032","8536","08","101",2018
"Park County, Colorado","08","093","13546","65","336","4056","3672","1323","2938","1156","08","093",2018
"Mesa County, Colorado","08","077","102669","2977","7211","28023","27384","8919","18441","9714","08","077",2018
"El Paso County, Colorado","08","041","442086","9525","18267","89218","108192","49204","101417","66263","08","041",2018
"Arapahoe County, Colorado","08","005","430193","14330","18565","89231","90029","36678","116505","64855","08","005",2018
"New Castle County, Delaware","10","003","380467","11303","21182","116387","68340","26642","79175","57438","10","003",2018
"Kent County, Delaware","10","001","116057","4830","10100","38490","25769","9511","16999","10358","10","001",2018
"Litchfield County, Connecticut","09","005","134752","3386","6600","39969","24717","12810","27363","19907","09","005",2018
"Palm Beach County, Florida","12","099","1054752","61613","62870","258521","202483","92804","234531","141930","12","099",2018
"Miami-Dade County, Florida","12","086","1922868","191214","164661","533542","299619","179835","350986","203011","12","086",2018
"Franklin County, Florida","12","037","8966","656","1112","3200","1691","770","925","612","12","037",2018
"Hamilton County, Florida","12","047","10133","724","1694","4460","1809","503","705","238","12","047",2018
"Sumter County, Florida","12","119","108330","2686","6444","32762","24075","8675","19329","14359","12","119",2018
"Holmes County, Florida","12","059","14061","786","2387","5489","3131","824","1028","416","12","059",2018
"Lee County, Florida","12","071","537841","27692","36833","165834","109194","48774","93362","56152","12","071",2018
"Collier County, Florida","12","021","274710","19964","17380","69842","47821","20383","59091","40229","12","021",2018
"Pasco County, Florida","12","101","370112","12202","28338","122411","80514","39945","57312","29390","12","101",2018
"Highlands County, Florida","12","055","78047","4634","7276","29677","16671","6549","8431","4809","12","055",2018
"DeSoto County, Florida","12","027","25918","3894","3189","11171","3531","1167","2119","847","12","027",2018
"Columbia County, Florida","12","023","47814","2081","4284","17263","11729","5013","4936","2508","12","023",2018
"Putnam County, Florida","12","107","51840","3218","6669","21110","10344","4082","4083","2334","12","107",2018
"Union County, Florida","12","125","11211","573","2016","4252","2414","1023","676","257","12","125",2018
"Levy County, Florida","12","075","29171","1121","3469","11990","6116","2792","2417","1266","12","075",2018
"Volusia County, Florida","12","127","389206","10900","28084","125238","91091","42191","60637","31065","12","127",2018
"New London County, Connecticut","09","011","188221","5015","10235","56020","37852","16354","34426","28319","09","011",2018
"Windham County, Connecticut","09","015","80985","2855","6337","26705","17833","7701","12062","7492","09","015",2018
"Middlesex County, Connecticut","09","007","118792","2689","4229","30998","20321","11228","27004","22323","09","007",2018
"Tolland County, Connecticut","09","013","95870","1595","3620","26390","16596","8215","22565","16889","09","013",2018
"Fairfield County, Connecticut","09","001","641790","34004","30886","139001","94360","39621","169677","134241","09","001",2018
"Washington County, Florida","12","133","17628","967","2341","7323","4054","874","1439","630","12","133",2018
"Duval County, Florida","12","031","628707","19370","46354","175335","140904","63464","122437","60843","12","031",2018
"Bradford County, Florida","12","007","19488","1296","2933","7745","3874","1584","1433","623","12","007",2018
"Brevard County, Florida","12","009","426776","9988","24246","122135","94965","50354","77525","47563","12","009",2018
"Clay County, Florida","12","019","141027","3816","8719","44514","34237","15798","23289","10654","12","019",2018
"Lafayette County, Florida","12","067","6146","551","916","2507","996","207","515","454","12","067",2018
"Lake County, Florida","12","069","247089","7566","18839","81305","57327","25901","36214","19937","12","069",2018
"Nassau County, Florida","12","089","58920","1736","3347","19277","12642","5285","10310","6323","12","089",2018
"Pinellas County, Florida","12","103","732552","20625","44494","207182","161031","72410","147743","79067","12","103",2018
"Polk County, Florida","12","105","461771","27947","42137","163614","96705","39101","61054","31213","12","105",2018
"St. Lucie County, Florida","12","111","220556","12379","18230","74301","47647","23169","29173","15657","12","111",2018
"Glades County, Florida","12","043","10056","1114","1340","4080","1970","555","719","278","12","043",2018
"Hendry County, Florida","12","051","25285","4905","3759","8806","4079","1657","1175","904","12","051",2018
"Indian River County, Florida","12","061","115641","4655","8379","34393","23936","11497","19993","12788","12","061",2018
"Jackson County, Florida","12","063","35370","1744","5081","13242","8197","2354","2836","1916","12","063",2018
"St. Johns County, Florida","12","109","166672","2854","6170","35717","33817","15258","45921","26935","12","109",2018
"Seminole County, Florida","12","117","318981","6266","11941","69293","63852","45621","81835","40173","12","117",2018
"Bay County, Florida","12","005","127804","3556","8815","40148","32936","13182","18965","10202","12","005",2018
"Flagler County, Florida","12","035","81448","2090","4410","27619","19246","8189","12388","7506","12","035",2018
"Gulf County, Florida","12","045","12177","626","1212","4547","2689","946","1308","849","12","045",2018
"Liberty County, Florida","12","077","6007","317","802","2877","945","305","507","254","12","077",2018
"Osceola County, Florida","12","097","222545","11247","18216","71032","52074","24246","31888","13842","12","097",2018
"Walton County, Florida","12","131","48209","1372","4181","13295","11607","4068","9240","4446","12","131",2018
"Gadsden County, Florida","12","039","32128","2118","4520","11756","6371","2001","3441","1921","12","039",2018
"Jefferson County, Florida","12","065","10910","583","1373","3632","2040","878","1460","944","12","065",2018
"Marion County, Florida","12","083","259032","9130","23657","97059","56961","22093","33493","16639","12","083",2018
"Hardee County, Florida","12","049","17323","2363","1835","8304","2292","727","1232","570","12","049",2018
"Okeechobee County, Florida","12","093","28284","3152","3911","10874","5255","1875","2375","842","12","093",2018
"Orange County, Florida","12","095","879992","40280","61025","216036","167516","97567","196676","100892","12","095",2018
"Gilchrist County, Florida","12","041","11890","584","1089","5017","2194","1321","1235","450","12","041",2018
"Suwannee County, Florida","12","121","30969","1669","4070","12165","6400","2111","3073","1481","12","121",2018
"Alachua County, Florida","12","001","159261","4556","7556","34631","27996","16798","34587","33137","12","001",2018
"Calhoun County, Florida","12","013","10294","762","1497","4312","2072","632","751","268","12","013",2018
