"NAME","STATE","COUNTY","S1501_C01_006E","S1501_C01_007E","S1501_C01_008E","S1501_C01_009E","S1501_C01_010E","S1501_C01_011E","S1501_C01_012E","S1501_C01_013E","state","county","yr"
"Cocke County, Tennessee","47","029","25408","2123","3317","11539","4306","1385","1725","1013","47","029",2018
"DeKalb County, Tennessee","47","041","13958","955","1844","5894","2201","877","1484","703","47","041",2018
"Lewis County, Tennessee","47","101","8440","405","892","3488","1988","697","708","262","47","101",2018
"Obion County, Tennessee","47","131","21372","1550","1991","9580","3941","1116","2090","1104","47","131",2018
"Tipton County, Tennessee","47","167","40804","1631","3725","15694","9872","3073","4172","2637","47","167",2018
"Dyer County, Tennessee","47","045","25465","1857","2559","9511","5095","2133","2825","1485","47","045",2018
"Hamilton County, Tennessee","47","065","250470","8881","18162","68818","55055","21363","50370","27821","47","065",2018
"Polk County, Tennessee","47","139","12198","946","1456","4772","2643","1037","753","591","47","139",2018
"White County, Tennessee","47","185","18661","1473","1857","8103","3848","855","1618","907","47","185",2018
"Sullivan County, Tennessee","47","163","113841","5597","9705","39550","23603","9452","16028","9906","47","163",2018
"Schoharie County, New York","36","095","22210","720","1586","8205","4074","2674","2860","2091","36","095",2018
"Fulton County, New York","36","035","38600","1192","3680","13795","7666","5414","3660","3193","36","035",2018
"Rensselaer County, New York","36","083","111082","2736","6566","32314","19872","16111","19164","14319","36","083",2018
"Franklin County, New York","36","033","35688","1529","3173","13421","6535","4096","3367","3567","36","033",2018
"Queens County, New York","36","081","1646256","167643","136238","454105","240393","128878","327893","191106","36","081",2018
"Washington County, New York","36","115","44839","1918","3601","17111","8242","4816","5191","3960","36","115",2018
"New York County, New York","36","061","1247071","87317","74920","155048","121886","49575","391234","367091","36","061",2018
"Cayuga County, New York","36","011","55526","1704","5108","18306","10503","7512","7451","4942","36","011",2018
"Rockland County, New York","36","087","203509","11305","13275","45768","33806","16723","45325","37307","36","087",2018
"Niagara County, New York","36","063","150607","3756","9501","51509","29872","20170","20459","15340","36","063",2018
"Essex County, New York","36","031","28731","840","1706","9451","5545","3269","4535","3385","36","031",2018
"Nassau County, New York","36","059","940610","43513","38828","216539","142757","73886","232755","192332","36","059",2018
"Schuyler County, New York","36","097","13200","444","970","4824","2640","1385","1745","1192","36","097",2018
"Chenango County, New York","36","017","34458","1049","3027","13439","6560","4068","3470","2845","36","017",2018
"Jefferson County, New York","36","045","72369","1845","4612","24590","16124","9083","9305","6810","36","045",2018
"Suffolk County, New York","36","103","1028820","45995","52612","287538","180814","95513","200412","165936","36","103",2018
